                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     56,                0.65699,                0.63408,                 1.0015,                0.60715,                  0.403,                0.42256,                0.32997,                0.97265,                 1.7501,                 1.2312,              0.0003323,              0.0003323,              0.0003323
                     57,                0.65203,                0.63934,                  1.003,                0.58666,                0.40801,                0.42384,                0.33859,                0.96673,                 1.7427,                 1.2312,             0.00032523,             0.00032523,             0.00032523
                     58,                0.64472,                0.62063,                 1.0001,                0.64447,                0.39012,                0.43592,                0.34551,                0.96564,                 1.7526,                 1.2322,             0.00031816,             0.00031816,             0.00031816
                     59,                0.65249,                 0.6229,                0.99808,                 0.6222,                0.38925,                0.42494,                0.33476,                0.98269,                 1.7672,                 1.2444,             0.00031109,             0.00031109,             0.00031109
                     60,                0.64897,                 0.6067,                0.99445,                0.60599,                0.40311,                0.42523,                0.33585,                0.95333,                 1.7514,                 1.2239,             0.00030402,             0.00030402,             0.00030402
                     61,                0.63284,                0.59084,                0.99015,                0.62303,                0.39753,                0.42996,                 0.3374,                0.96596,                   1.76,                 1.2319,             0.00029695,             0.00029695,             0.00029695
                     62,                  0.629,                0.58026,                0.99017,                0.62619,                 0.3869,                0.42876,                0.33585,                0.97553,                 1.8115,                 1.2371,             0.00028988,             0.00028988,             0.00028988
                     63,                0.62052,                0.56858,                0.98391,                 0.6261,                0.40415,                0.43686,                0.34798,                0.96534,                 1.7641,                 1.2346,             0.00028282,             0.00028282,             0.00028282
                     64,                0.62965,                0.57765,                0.98752,                0.62146,                0.38108,                0.42263,                0.33505,                0.97114,                 1.7949,                 1.2297,             0.00027575,             0.00027575,             0.00027575
                     65,                0.61494,                0.56248,                 0.9787,                0.57958,                0.41099,                0.43291,                0.34735,                0.96548,                 1.7843,                 1.2267,             0.00026868,             0.00026868,             0.00026868
                     66,                0.61561,                 0.5555,                0.98047,                0.64035,                0.38892,                0.43289,                0.34745,                0.97374,                 1.8495,                 1.2498,             0.00026161,             0.00026161,             0.00026161
                     67,                0.60863,                0.54692,                0.97102,                0.60512,                0.40993,                 0.4293,                0.34383,                0.97152,                 1.7297,                 1.2386,             0.00025454,             0.00025454,             0.00025454
